0,title,artist,genre,bpm,nrgy,dnce,live,val,dur,acous,spch,pop,artist_code,genre_code
116,Starships,Nicki Minaj,dance pop,125,72,75,25,75,211,14,8,73,132,25
117,One More Night,Maroon 5,pop,93,82,72,8,62,220,6,3,73,114,48
118,Good Time,Owl City,pop,126,87,56,37,68,206,2,14,73,136,48
119,Glad You Came,The Wanted,boy band,127,85,72,11,45,198,3,6,72,170,12
120,Beauty And A Beat,Justin Bieber,canadian pop,128,84,60,7,53,228,0,6,72,83,18
121,International Love,Pitbull,dance pop,120,86,67,34,65,227,1,5,72,141,25
122,Some Nights,fun.,baroque pop,108,74,67,9,39,277,2,5,72,182,9
123,Boyfriend,Justin Bieber,canadian pop,97,55,72,13,33,171,4,5,71,83,18
124,Part Of Me,Katy Perry,dance pop,130,92,68,7,77,216,0,4,71,86,25
125,Domino,Jessie J,australian pop,127,55,76,4,78,232,1,3,69,76,7
126,Where Have You Been,Rihanna,barbadian pop,128,85,72,22,44,243,0,9,68,145,8
127,Wide Awake,Katy Perry,dance pop,160,68,51,39,57,221,7,4,68,86,25
128,The One That Got Away,Katy Perry,dance pop,134,80,69,16,88,227,0,4,67,86,25
129,Dance Again,Jennifer Lopez,dance pop,128,86,79,10,71,237,2,7,66,74,25
130,Turn Up the Music,Chris Brown,dance pop,130,84,59,16,64,228,0,10,65,29,25
131,Lights - Single Version,Ellie Goulding,dance pop,120,80,68,13,78,211,3,4,65,47,25
132,We Are Young (feat. Janelle Monáe),fun.,baroque pop,184,64,38,8,74,251,2,8,63,182,9
133,Diamonds,Rihanna,barbadian pop,92,71,56,11,39,225,0,5,61,145,8
134,Don't Stop the Party (feat. TJR),Pitbull,dance pop,127,96,72,38,95,206,1,9,59,141,25
135,You Da One,Rihanna,barbadian pop,127,72,70,13,86,200,50,4,57,145,8
136,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,90,80,65,27,80,211,3,10,54,59,25
137,It Will Rain,Bruno Mars,pop,150,84,58,8,48,258,34,5,38,19,48
138,Blow Me (One Last Kiss),P!nk,dance pop,114,92,60,25,75,256,0,4,0,137,25
139,Underneath the Tree,Kelly Clarkson,dance pop,160,81,51,21,69,230,0,5,88,87,25
140,Wake Me Up,Avicii,big room,124,78,53,16,64,247,0,5,85,12,11
141,Story of My Life,One Direction,boy band,121,66,60,12,29,245,23,5,81,134,12
142,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,95,55,78,13,44,243,35,5,81,137,25
143,Hall of Fame,The Script,celtic rock,85,87,42,12,63,203,7,6,80,169,20
144,Roar,Katy Perry,dance pop,180,77,55,35,46,224,0,4,78,86,25
145,We Can't Stop,Miley Cyrus,dance pop,80,62,61,37,48,231,1,3,78,121,25
146,Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,129,84,61,12,44,213,11,5,78,163,11
147,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,116,81,79,10,86,248,4,4,77,39,30
148,Wrecking Ball,Miley Cyrus,dance pop,120,42,53,11,35,221,41,3,77,121,25
149,Impossible,James Arthur,pop,170,70,38,11,30,209,14,9,77,70,48
150,Blurred Lines,Robin Thicke,dance pop,120,60,85,8,84,264,0,4,76,148,25
151,Heart Attack,Demi Lovato,dance pop,174,79,50,24,50,211,7,10,76,42,25
152,We Are Never Ever Getting Back Together,Taylor Swift,pop,86,68,63,12,75,193,1,9,75,166,48
153,Die Young,Kesha,dance pop,128,70,71,22,80,212,0,5,75,89,25
154,Clarity,Zedd,complextro,128,78,51,7,18,271,4,7,75,181,23
155,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,126,81,57,13,11,215,2,6,74,95,3
156,Under Control,Calvin Harris,dance pop,126,92,54,12,51,184,13,8,74,22,25
